Vehicle_ID,Fuel_Remaining_L,Ethanol_Blend,Speed_kmph,RPM,Temperature_C,AC,Traffic_Level,Vehicle_Load_kg,Acceleration,Driving_Time_hr,Distance_Travelled_km,Fuel_Consumed_L,Road_City,Road_Highway,Road_Rural
CAR116,10.45,10,67.4,1116.0,13.5,0,2,259.3,0.83,2.68,157.48,9.927499999999998,1,0,0
CAR139,16.91,85,24.5,1741.0,27.85,1,1,134.0,0.51,1.98,44.3,14.741,0,1,0
CAR030,15.76,0,59.4,2869.0,22.4,1,0,135.1,0.68,3.01,178.01,14.972,1,0,0
CAR068,32.34,20,40.2,2397.0,13.5,1,0,308.6,0.32,0.38,15.03,2.124,0,0,1
CAR065,27.19,20,78.7,1715.0,30.6,1,2,147.1,0.52,3.95,269.37,25.8305,0,1,0
CAR106,22.44,20,66.1,903.0,29.3,0,0,259.3,0.8,0.3,19.12,2.44,0,1,0
CAR154,16.05,10,50.0,1551.0,17.6,1,2,257.0,0.71,3.08,155.53,15.2475,0,1,0
CAR197,11.78,0,20.0,3804.0,17.9,1,1,405.3,0.17,4.34,82.95,7.831,0,1,0
CAR065,14.03,20,39.7,2090.0,16.1,1,0,322.7,0.73,4.36,150.4,13.328499999999998,0,1,0
CAR116,39.59,10,26.5,2905.0,38.3,1,1,336.3,0.44,1.45,33.35,4.575,0,1,0
CAR014,38.45,0,26.9,1923.0,41.1,0,1,190.9,0.15,3.46,81.32,8.411,1,0,0
CAR026,41.38,0,43.7,3031.0,41.4,1,2,228.3,0.45,3.13,120.16,15.856,1,0,0
CAR084,27.52,10,70.6,965.0,19.8,1,0,343.2,0.2,4.44,312.71,26.144,0,1,0
CAR155,8.68,20,70.0,2384.0,17.0,1,1,137.3,0.67,4.35,309.54,8.245999999999999,1,0,0
CAR200,24.67,10,47.0,1127.0,17.4,1,1,195.0,0.43,2.41,96.33,12.244,1,0,0
CAR104,11.21,10,45.9,2372.0,26.9,0,0,262.9,0.44,3.77,178.42,10.6495,1,0,0
CAR003,20.02,0,46.1,2683.0,22.3,1,2,334.0,0.7,0.81,38.68,5.02,1,0,0
CAR013,12.56,20,30.2,1710.0,30.7,1,0,332.1,0.72,2.13,66.41,10.323,1,0,0
CAR085,44.57,85,68.1,1246.0,21.3,0,1,233.3,0.12,0.98,64.24,20.505,1,0,0
CAR054,33.74,10,52.1,1274.0,21.7,0,0,151.7,0.33,0.69,34.72,3.365,0,0,1
CAR062,39.95,0,33.7,1643.0,27.85,1,0,168.5,0.81,1.75,52.39,5.086,1,0,0
CAR190,9.51,10,64.8,2134.0,32.3,1,2,236.4,0.14,3.38,206.12,9.0345,1,0,0
CAR185,24.55,0,180.0,2290.0,19.9,1,2,114.1,0.11,2.16,157.61,16.941,1,0,0
CAR177,28.62,0,61.8,2208.0,37.5,1,2,301.6,0.33,3.28,212.41,25.73,1,0,0
CAR174,9.72,10,65.2,2208.0,22.1,0,2,369.4,0.55,1.4,92.96,9.234,0,0,1
CAR182,21.39,0,43.5,2418.0,30.3,1,2,229.0,0.17,2.03,79.18,8.932,1,0,0
CAR051,26.88,0,21.2,1397.0,24.5,1,1,193.2,0.09,2.13,41.11,3.454,1,0,0
CAR128,7.07,10,60.1,1954.0,33.1,1,2,72.9,0.76,0.62,35.62,4.793,0,1,0
CAR173,8.72,20,18.8,2738.0,27.85,0,0,229.9,0.88,4.42,81.51,8.284,0,0,1
CAR118,32.27,10,31.9,3669.0,32.9,1,2,270.3,0.78,2.39,79.07,13.44,1,0,0
CAR191,42.37,20,72.2,974.0,46.2,1,0,108.5,0.46,0.75,48.03,7.91,1,0,0
CAR041,40.79,10,49.8,2965.0,48.0,1,0,394.7,0.09,2.14,110.35,15.623,0,0,1
CAR081,26.51,10,38.4,1117.0,19.0,0,1,376.4,0.18,3.38,136.18,15.892,1,0,0
CAR169,12.86,85,38.4,3174.0,22.7,0,0,361.8,0.11,3.87,130.25,12.217,0,0,1
CAR138,28.09,20,46.7,2123.0,28.4,1,0,154.7,0.44,0.46,21.04,3.442,1,0,0
CAR171,14.72,10,69.0,1248.0,35.6,0,0,259.3,0.23,2.35,148.04,11.128,0,1,0
CAR172,43.91,10,49.6,2291.0,12.0,1,0,294.4,0.89,2.08,101.66,14.415,1,0,0
CAR069,7.86,20,50.4,3130.0,26.2,0,1,345.9,0.36,3.79,172.54,7.467,0,1,0
CAR058,37.3,10,62.5,2019.0,19.7,1,2,72.1,0.55,3.84,222.89,33.682,1,0,0
CAR064,14.53,20,52.6,2681.0,13.8,0,1,368.7,0.44,1.5,73.63,11.173,0,0,1
CAR173,3.03,10,68.8,1700.0,17.0,0,0,344.1,0.77,1.82,114.35,2.8785,0,1,0
CAR059,6.91,0,70.5,1723.0,23.8,1,2,246.7,0.14,1.23,85.08,6.5645,0,1,0
CAR050,2.63,0,61.5,1188.0,16.5,1,2,371.9,0.32,1.61,100.04,2.4985,0,0,1
CAR014,11.85,0,180.0,2326.0,27.85,0,0,151.2,0.6,2.17,166.05,11.2575,1,0,0
CAR075,2.97,0,71.6,2351.0,15.5,1,0,85.2,0.17,3.17,208.6,2.8215,0,0,1
CAR190,10.61,20,26.1,2559.0,40.2,1,1,70.6,0.74,2.55,56.65,10.0795,0,0,1
CAR090,26.16,20,32.5,2837.0,12.2,0,0,72.1,0.51,3.17,99.83,12.892,0,1,0
CAR031,31.14,0,74.7,2208.0,23.8,0,1,90.9,0.21,2.84,207.41,15.841,0,1,0
CAR089,21.17,20,81.7,2187.0,33.9,0,0,371.4,0.37,0.29,23.46,3.165,1,0,0
CAR157,44.44,10,60.6,4044.0,38.1,1,2,321.1,0.19,1.5,92.99,12.664,0,1,0
CAR096,3.38,20,50.9,1840.0,36.2,0,2,428.7,0.44,0.46,22.11,3.211,0,1,0
CAR170,5.45,20,67.0,3629.0,16.6,1,1,224.0,0.27,2.43,166.75,5.1775,1,0,0
CAR020,37.12,20,47.7,1266.0,28.3,1,2,347.4,0.57,1.46,61.74,10.241,0,1,0
CAR025,27.96,20,56.9,4206.0,10.6,1,1,324.0,0.49,2.3,117.28,16.548,0,1,0
CAR171,33.88,10,75.2,2011.0,30.9,0,1,164.5,0.43,2.11,162.16,20.94,1,0,0
CAR128,25.39,10,46.6,2797.0,10.8,1,1,340.6,0.82,0.99,47.93,7.467,1,0,0
CAR116,20.2,20,41.9,2500.0,24.1,0,0,431.3,0.85,4.02,166.35,19.19,1,0,0
CAR055,21.09,20,50.0,2600.0,24.9,1,1,128.3,0.23,4.49,171.01,20.0355,0,0,1
CAR120,24.94,0,40.5,2514.0,36.9,1,2,433.0,0.36,1.73,65.3,6.965,0,1,0
CAR033,18.98,85,54.6,1307.0,16.5,0,1,254.3,0.24,4.02,190.45,18.031,1,0,0
CAR163,15.33,10,37.1,1641.0,29.9,0,2,269.4,0.37,2.4,89.98,11.252,0,0,1
CAR131,12.05,20,40.7,700.0,32.6,1,1,100.7,0.77,2.02,69.98,10.333,0,1,0
CAR118,26.49,10,45.1,3542.0,27.2,0,1,346.5,0.11,0.8,37.3,4.443,0,0,1
CAR164,26.1,20,57.8,2714.0,29.4,0,2,280.4,0.21,2.19,117.88,18.458,0,1,0
CAR046,42.99,10,50.0,2024.0,23.6,0,1,303.4,0.48,0.29,17.57,2.169,1,0,0
CAR041,34.38,85,42.0,1486.0,19.1,1,2,372.6,0.59,4.43,168.61,32.661,1,0,0
CAR119,19.42,20,52.2,2307.0,37.6,0,2,329.8,0.74,2.19,116.37,18.095,0,1,0
CAR163,44.03,0,62.3,3003.0,23.3,0,2,158.4,0.37,3.58,213.37,19.567,0,1,0
CAR092,44.69,10,17.9,2871.0,32.8,0,2,166.5,0.89,4.27,70.54,8.935,0,1,0
CAR064,6.32,0,83.0,2208.0,19.4,1,2,174.3,0.25,3.7,292.51,6.004,0,0,1
CAR054,6.39,10,29.2,2205.0,24.6,0,0,313.6,0.09,3.73,103.36,6.070499999999999,0,1,0
CAR028,42.35,85,62.9,2208.0,18.7,0,2,342.8,0.7,2.86,153.23,35.01175,1,0,0
CAR084,9.0,20,49.1,2043.0,36.9,1,2,211.1,0.83,1.41,60.44,8.549999999999999,0,0,1
CAR116,7.39,10,77.8,2718.0,27.85,1,1,329.6,0.54,2.55,173.81,7.020499999999999,1,0,0
CAR161,43.38,20,66.1,1761.0,23.5,1,0,310.8,0.15,1.22,69.94,9.608,1,0,0
CAR013,5.84,20,58.9,1223.0,26.8,0,2,424.2,0.37,0.86,46.96,5.548,0,1,0
CAR170,6.56,20,63.2,2688.0,27.85,0,2,278.1,0.09,4.16,234.74,6.231999999999999,1,0,0
CAR191,7.26,20,56.5,2915.0,28.3,0,2,419.0,0.36,2.24,128.05,6.896999999999999,0,1,0
CAR100,28.03,0,57.4,2575.0,27.85,1,0,387.6,0.69,3.49,203.4,24.162,1,0,0
CAR025,8.34,10,68.1,2201.0,22.6,1,1,208.8,0.77,3.52,229.82,7.922999999999999,0,1,0
CAR113,24.95,0,54.6,2080.0,24.9,1,2,276.8,0.64,1.36,67.45,7.171,0,1,0
CAR083,23.36,10,26.8,1692.0,38.9,0,1,132.8,0.83,2.32,60.33,8.297,0,1,0
CAR050,6.4,20,36.4,1863.0,39.6,1,0,210.0,0.69,1.39,51.66,6.08,0,0,1
CAR131,42.92,10,49.4,2208.0,36.7,0,1,314.9,0.1,1.31,58.6,6.502,0,0,1
CAR056,39.7,20,63.4,869.0,28.3,1,1,141.3,0.14,0.32,17.66,2.495,1,0,0
CAR092,37.92,85,65.9,1679.0,17.9,0,1,414.1,0.75,0.8,50.16,17.594,1,0,0
CAR086,29.85,20,5.0,2579.0,21.6,0,2,382.2,0.4,2.63,12.44,2.113,0,0,1
CAR155,39.9,0,31.5,2525.0,34.5,0,2,282.9,0.65,4.15,129.57,15.991,1,0,0
CAR030,38.31,0,46.5,805.0,22.7,1,1,137.9,0.37,1.74,70.78,5.573,0,0,1
CAR189,40.44,10,69.6,2444.0,20.8,0,0,444.9,0.52,2.48,147.13,15.498,0,0,1
CAR047,10.54,20,56.0,2349.0,19.6,0,0,253.8,0.07,4.04,225.16,10.012999999999998,1,0,0
CAR024,8.16,20,46.3,1819.0,17.8,0,1,282.5,0.7,4.17,201.36,7.752,1,0,0
CAR182,31.92,10,33.1,1768.0,30.5,1,1,283.8,0.49,2.96,85.4,11.533,1,0,0
CAR182,3.94,10,48.6,1805.0,26.6,0,1,211.7,0.07,4.13,178.6,3.743,0,1,0
CAR179,43.5,10,49.4,2280.0,26.9,1,0,291.8,0.88,2.76,125.63,15.563,1,0,0
CAR188,17.54,20,33.9,2222.0,40.7,0,1,75.1,0.53,4.43,154.51,16.662999999999997,1,0,0
CAR069,8.96,10,81.2,2208.0,20.5,0,1,147.7,0.71,3.92,322.92,8.512,0,0,1
CAR085,32.04,20,73.2,3819.0,27.6,0,1,377.0,0.24,0.92,68.37,11.001,1,0,0
CAR170,26.21,10,20.3,1699.0,38.7,0,1,168.4,0.6,2.22,46.38,5.608,0,1,0
CAR037,24.47,10,80.5,1981.0,18.6,1,2,308.4,0.14,1.7,135.73,17.402,0,0,1
CAR171,5.3,0,28.4,2968.0,12.2,1,0,181.1,0.73,3.58,96.28,5.034999999999999,1,0,0
CAR185,34.94,0,81.6,1192.0,44.7,1,0,260.6,0.06,1.88,135.59,10.607,0,1,0
CAR166,2.55,10,47.9,2919.0,32.5,1,1,308.9,0.34,1.36,58.41,2.4225,0,0,1
CAR047,33.37,20,76.6,2396.0,30.0,1,2,268.4,0.85,3.05,236.07,31.7015,0,1,0
CAR134,20.09,10,46.1,2495.0,31.1,1,1,259.3,0.16,2.12,93.65,13.204,1,0,0
CAR170,2.75,10,43.0,2281.0,30.8,0,1,325.3,0.62,1.44,57.36,2.6125,1,0,0
CAR056,14.35,0,46.8,2704.0,15.9,0,1,358.6,0.3,2.82,135.53,13.6325,1,0,0
CAR043,30.83,10,34.2,1713.0,22.2,1,1,277.4,0.58,4.34,137.08,18.349,1,0,0
CAR179,31.14,20,52.3,1947.0,34.2,1,1,221.6,0.16,3.06,142.05,20.179,0,0,1
CAR069,15.96,10,17.7,2208.0,31.8,1,0,327.1,0.56,2.24,35.23,4.854,1,0,0
