Vehicle_ID,Fuel_Remaining_L,Ethanol_Blend,Speed_kmph,RPM,Temperature_C,AC,Traffic_Level,Vehicle_Load_kg,Acceleration,Driving_Time_hr,Distance_Travelled_km,Fuel_Consumed_L,Road_City,Road_Highway,Road_Rural,Fuel_Efficiency_kmpl,Consumption_Rate_Lpkm,Fuel_Per_Hour_L,Traffic_Score,Driving_Intensity,AC_Load_Indicator,Remaining_Range_km,Remaining_Time_hr
CAR116,10.45,10,67.4,1116.0,13.5,0,2,259.3,0.83,2.68,157.48,9.927499999999998,1,0,0,15.86300679929489,0.06303975107950216,3.704291044776119,1.3,0.4853650793650794,0.0,165.7684210526316,2.4594721224426053
CAR139,16.91,85,24.5,1741.0,27.85,1,1,134.0,0.51,1.98,44.3,14.741,0,1,0,3.005223526219388,0.33275395033860045,7.444949494949495,0.5,0.31716402116402115,0.5802083333333333,50.818329828369855,2.074217544015096
CAR030,15.76,0,59.4,2869.0,22.4,1,0,135.1,0.68,3.01,178.01,14.972,1,0,0,11.8895271172856,0.08410763440256165,4.974086378737542,0.3,0.4984708994708995,0.4666666666666666,187.37894736842105,3.154527733475102
CAR068,32.34,20,40.2,2397.0,13.5,1,0,308.6,0.32,0.38,15.03,2.124,0,0,1,7.076271186440677,0.1413173652694611,5.589473684210526,0.1,0.3071058201058201,0.28125,228.84661016949153,5.692701745509739
CAR065,27.19,20,78.7,1715.0,30.6,1,2,147.1,0.52,3.95,269.37,25.8305,0,1,0,10.428369563113373,0.09589226714184951,6.5393670886075945,1.0,0.4200000000000001,0.6375000000000001,283.5473684210526,3.6028890523640738
CAR106,22.44,20,66.1,903.0,29.3,0,0,259.3,0.8,0.3,19.12,2.44,0,1,0,7.836065573770492,0.12761506276150628,8.133333333333333,0.0,0.4617037037037037,0.0,175.84131147540984,2.6602316410803306
CAR154,16.05,10,50.0,1551.0,17.6,1,2,257.0,0.71,3.08,155.53,15.2475,0,1,0,10.200360714871291,0.09803574873014853,4.950487012987013,1.0,0.4294126984126984,0.3666666666666667,163.71578947368423,3.2743157894736843
CAR197,11.78,0,20.0,3804.0,17.9,1,1,405.3,0.17,4.34,82.95,7.831,0,1,0,10.592516919933598,0.09440626883664859,1.804377880184332,0.5,0.28114285714285714,0.3729166666666666,124.77984931681777,6.238992465840889
CAR065,14.03,20,39.7,2090.0,16.1,1,0,322.7,0.73,4.36,150.4,13.328499999999998,0,1,0,11.284090482800018,0.08862034574468083,3.056995412844036,0.0,0.4434126984126984,0.3354166666666667,158.31578947368425,3.98780326130187
CAR116,39.59,10,26.5,2905.0,38.3,1,1,336.3,0.44,1.45,33.35,4.575,0,1,0,7.2896174863387975,0.13718140929535233,3.1551724137931036,0.5,0.3503703703703704,0.7979166666666666,288.59595628415303,10.89041344468502
CAR014,38.45,0,26.9,1923.0,41.1,0,1,190.9,0.15,3.46,81.32,8.411,1,0,0,9.668291523005587,0.10343089030988686,2.4309248554913294,0.8,0.19694179894179895,0.0,371.74580905956486,13.819546805188285
CAR026,41.38,0,43.7,3031.0,41.4,1,2,228.3,0.45,3.13,120.16,15.856,1,0,0,7.578203834510595,0.13195739014647137,5.065814696485623,1.3,0.39192592592592596,0.8624999999999999,313.5860746720484,7.175882715607515
CAR084,27.52,10,70.6,965.0,19.8,1,0,343.2,0.2,4.44,312.71,26.144,0,1,0,11.961061811505507,0.08360461769690768,5.888288288288288,0.0,0.25076719576719575,0.41250000000000003,329.1684210526316,4.6624422245415245
CAR155,8.68,20,70.0,2384.0,17.0,1,1,137.3,0.67,4.35,309.54,8.245999999999999,1,0,0,37.538200339558585,0.026639529624604245,1.8956321839080459,0.8,0.4913015873015873,0.3541666666666667,325.8315789473685,4.654736842105264
CAR200,24.67,10,47.0,1127.0,17.4,1,1,195.0,0.43,2.41,96.33,12.244,1,0,0,7.867526951976478,0.1271047441087927,5.080497925311203,0.8,0.299962962962963,0.3625,194.09188990525973,4.129614678835313
