Vehicle_ID,Fuel_Remaining_L,Ethanol_Blend,Speed_kmph,RPM,Temperature_C,AC,Traffic_Level,Road_Type,Vehicle_Load_kg,Acceleration,Driving_Time_hr,Distance_Travelled_km,Fuel_Consumed_L
CAR116,10.45,10,67.4,1116.0,13.5,0,2,City,,0.83,2.68,157.48,9.927499999999998
CAR139,16.91,85,24.5,1741.0,,1,1,Highway,134.0,0.51,1.98,44.3,14.741
CAR030,15.76,0,59.4,2869.0,22.4,1,0,City,135.1,0.68,3.01,178.01,14.972
CAR068,32.34,20,40.2,2397.0,13.5,1,0,Rural,308.6,0.32,0.38,15.03,2.124
CAR065,27.19,20,78.7,1715.0,30.6,1,2,Highway,147.1,0.52,3.95,269.37,25.8305
CAR106,22.44,20,66.1,903.0,29.3,0,0,Highway,,0.8,0.3,19.12,2.44
CAR154,16.05,10,,1551.0,17.6,1,2,Highway,257.0,0.71,3.08,155.53,15.2475
CAR197,11.78,0,20.0,3804.0,17.9,1,1,Highway,405.3,0.17,4.34,82.95,7.831
CAR065,14.03,20,39.7,2090.0,16.1,1,0,Highway,322.7,0.73,4.36,150.4,13.328499999999998
CAR116,39.59,10,26.5,2905.0,38.3,1,1,Highway,336.3,0.44,1.45,33.35,4.575
CAR014,38.45,0,26.9,1923.0,41.1,0,1,City,190.9,0.15,3.46,81.32,8.411
CAR026,41.38,0,43.7,3031.0,41.4,1,2,City,228.3,0.45,3.13,120.16,15.856
CAR084,27.52,10,70.6,965.0,19.8,1,0,Highway,343.2,0.2,4.44,312.71,26.144
CAR155,8.68,20,70.0,2384.0,17.0,1,1,City,137.3,0.67,4.35,309.54,8.245999999999999
CAR200,24.67,10,47.0,1127.0,17.4,1,1,City,195.0,0.43,2.41,96.33,12.244
CAR104,11.21,10,45.9,2372.0,26.9,0,0,City,262.9,0.44,3.77,178.42,10.6495
CAR003,20.02,0,46.1,2683.0,22.3,1,2,City,334.0,0.7,0.81,38.68,5.02
CAR013,12.56,20,30.2,1710.0,30.7,1,0,City,332.1,0.72,2.13,66.41,10.323
CAR085,44.57,85,68.1,1246.0,21.3,0,1,City,233.3,0.12,0.98,64.24,20.505
CAR054,33.74,10,52.1,1274.0,21.7,0,0,Rural,151.7,0.33,0.69,34.72,3.365
CAR062,39.95,0,33.7,1643.0,,1,0,City,168.5,0.81,1.75,52.39,5.086
CAR190,9.51,10,64.8,2134.0,32.3,1,2,City,236.4,0.14,3.38,206.12,9.0345
CAR185,24.55,0,365.05492173656285,2290.0,19.9,1,2,City,114.1,0.11,2.16,157.61,16.941
CAR177,28.62,0,61.8,,37.5,1,2,city,301.6,0.33,3.28,212.41,25.73
CAR174,9.72,10,65.2,,22.1,0,2,Rural,369.4,0.55,1.4,92.96,9.234
CAR182,21.39,0,43.5,2418.0,30.3,1,2,City,229.0,0.17,2.03,79.18,8.932
CAR051,26.88,0,21.2,1397.0,24.5,1,1,City,193.2,0.09,2.13,41.11,3.454
CAR128,7.07,10,60.1,1954.0,33.1,1,2,Highway,72.9,0.76,0.62,35.62,4.793
CAR173,8.72,20,18.8,2738.0,,0,0,Rural,229.9,0.88,4.42,81.51,8.284
CAR118,32.27,10,31.9,3669.0,32.9,1,2,City,270.3,0.78,2.39,79.07,13.44
CAR191,42.37,20,72.2,974.0,46.2,1,0,City,108.5,0.46,0.75,48.03,7.91
CAR041,40.79,10,49.8,2965.0,48.0,1,0,Rural,394.7,0.09,2.14,110.35,15.623
CAR081,26.51,10,38.4,1117.0,19.0,0,1,City,376.4,0.18,3.38,136.18,15.892
CAR169,12.86,85,38.4,3174.0,22.7,0,0,Rural,361.8,0.11,3.87,130.25,12.216999999999999
CAR138,28.09,20,46.7,2123.0,28.4,1,0,City,154.7,0.44,0.46,21.04,3.442
CAR171,14.72,10,69.0,1248.0,35.6,0,0,Highway,,0.23,2.35,148.04,11.128
CAR172,43.91,10,49.6,2291.0,12.0,1,0,City,294.4,0.89,2.08,101.66,14.415
CAR069,7.86,20,50.4,3130.0,26.2,0,1,Highway,345.9,0.36,3.79,172.54,7.467
CAR058,37.3,10,62.5,2019.0,19.7,1,2,City,72.1,0.55,3.84,222.89,33.682
CAR064,14.53,20,52.6,2681.0,13.8,0,1,Rural,368.7,0.44,1.5,73.63,11.173
CAR173,3.03,10,68.8,1700.0,17.0,0,0,Highway,344.1,0.77,1.82,114.35,2.8785
CAR059,6.91,0,70.5,1723.0,23.8,1,2,Highway,246.7,0.14,1.23,85.08,6.5645
CAR050,2.63,0,61.5,1188.0,16.5,1,2,Rural,371.9,0.32,1.61,100.04,2.4985
CAR014,11.85,0,340.4079015428841,2326.0,,0,0,City,151.2,0.6,2.17,166.05,11.257499999999999
CAR075,2.97,0,71.6,2351.0,15.5,1,0,Rural,85.2,0.17,3.17,208.6,2.8215
CAR190,10.61,20,26.1,2559.0,40.2,1,1,Rural,70.6,0.74,2.55,56.65,10.0795
CAR090,26.16,20,32.5,2837.0,12.2,0,0,Highway,72.1,0.51,3.17,99.83,12.892
CAR031,31.14,0,74.7,,23.8,0,1,Highway,90.9,0.21,2.84,207.41,15.841
CAR089,21.17,20,81.7,2187.0,33.9,0,0,City,371.4,0.37,0.29,23.46,3.165
